COD,Name,Date,Validity,Description,Category,Social,Byproducts,Deviance,Francoism (until 1978),Constitution (after 1978),European Union (after 1985),Crisis (After 2007),Population (Biopolitics),How - Population,Security (Conduct),How - Security,Territory (Sovereignty),How - territory,Ecology,How - ecology,Economics,How - economics,Terrorism,How - terrorism,Toxicity,How - toxicity,Gender,How - gender,Sexuality,How - sexuality,Race,How - race,Class,How - class
DCDMA_2,Decreto de 14 de febrero de 1947 por el que se aprueba el Reglamento Hipotecario.,14/02/1947,1947-2015,"Contemporary Spanish Mortgage ""Reglamento"", in 1947 the aim was for the right to a loan –“derecho de hipoteca”– to become a practical reality (1947: 2239)",F,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Dominio_público, Derecho_de_hipoteca",Yes,Mecanismos_de_responsabilidad,Yes,España,No,No,Yes,"Estructuras_industriales_comerciales, Energía, Servicio_público, Urgencia, Crédito, Propiedad_mobiliaria, Sector_inmobiliario_mercado",No,No,Yes,Usurpadores_patrimonio,Yes,"Matrimonio_hombre_mujer, Mujer_casada",No,No,No,No,No,No
Terrorismo,Decreto-Ley de 18 de abril de 1947 sobre represión de los delitos de bandidaje y terrorismo,03/04/1947,1947-2015,"The 1947 anti-terrorist law refers to the terrorists as follows, constituyen las más graves especies delictivas de toda situación de postguerra, secuela de la relajación de vínculos morales y de la exaltación de los impulsos de crueldad y acometividad de gentes criminales e inadaptadas, requieren especiales medidas de represion. (2618) “Relajación de vínculos morales”, “impulsos de crueldad”, “gentes inadaptadas”… a medicalized discourse imposes the limit between the curable and the incurable; the correction of the fallen and the death penalty. ",C,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
DMLMO_1,Ley de 17 de julio de 1947 por la que se reorganiza el Monopolio de Petróleos,17/07/1947,1947-1984,"In 1947 oil does not refer to the “suministro de vitales productos en el periodo de nuestra Cruzada Nacional” but to the “evolución del concepto de la soberanía estatal” (77). We see how new forms of sovereignty  react to oil and its utilizations. Furthermore, oil facilitated the 1950’s loss of sovereignty caused by Franco’s acquisition of international debt at an individual levels",O,Yes,No,No,Yes,Yes,No,No,Yes,"Estímulo_orden_social, Beneficios_sociedad",No,No,Yes,"Cruzada_nacional, Soberanía_estatal",No,No,Yes,"Hidrocarburos, Estímulo_orden_económico, Monopolio, Byproducts, Ingresos_cuantiosos_al_tesoro",No,No,No,No,No,No,No,No,No,No,No,No
ECTMA_7,"Treaty establishing the European Coal and Steel Community (Paris, 18 April 1951)",18/04/1951,1985-2002,CONSIDERING that world peace may be safeguarded only by creative efforts equal to the dangers which menace it; CONVINCED that the contribution which an organized and vital Europe can bring to civilization is indispensable to the maintenance of peaceful relations;,F,Yes,No,No,No,Yes,Yes,No,Yes,"Consumidores_usuarios, Mejorar_calidad_de_vida, Afecta_trabajadores, Afecta_población, Protección_del_consumidor, Crecimiento_económico_progreso_desarrollo, Estabilidad_externa, Paz",Yes,Mecanismos_de_responsabilidad,Yes,"Europa, Territorio_nacional_estado_miembro",No,No,Yes,"Consumidor_productor, Competitividad, Libre_comercialización_circulación, Actividad_empresas, Mercado_europeo_mercado_común, Crecimiento_económico_progreso_desarrollo, Economías_desarrolladas, Tareas_abastecimiento, Racionalidad_económica, Distribución_riqueza, Creación_empresas, Defensa_de_la_competencia",No,No,Yes,"Peligro_amenaza_mundo_occidental, Trastorno_mercado",No,No,No,No,No,No,No,No
VPOMA_3,Orden de 12 de agosto de 1952 para la reconstrucción nacional para conceder préstamos destinados a la adquisición de viviendas por sus inquilinos,12/08/1952,1952-1954,los inquilinos que deseen ejercitar los derechos de tanteo y retracto,F,No,Yes,No,Yes,No,No,No,Yes,"Afecta_población, Impulsar_propiedad_vivienda, Afecta_acreedor, Derecho_de_hipoteca, Impulsar_mercado_hipotecario_préstamos_hipotecarios",Yes,"Sujetos_obligados_al_pago, Evaluación_riesgo, Obligaciones_asumidas",Yes,"Banco_España, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Banca_privada, Crédito, Hipoteca",No,No,No,No,No,No,No,No,No,No,No,No
DICMA_1,Convenio defensivo entre Estados Unidos y Espan_a,26/09/1953,1953-1970,Pactos de madrid,F,Yes,No,No,Yes,No,No,No,Yes,"Peligro_amenaza_mundo_occidental, Paz",No,No,Yes,"Combate_defensa_vigilancia, España, Estados_Unidos",No,No,Yes,"Préstamo_ultramar_ Capital_extranjer, Crédito",No,No,Yes,Peligro_amenaza_mundo_occidental,No,No,No,No,No,No,No,No
DICMO_3 ,OILPOL,12/05/1954,1963-1984,"Did not affect Spain. The Oil Pollution Convention of 1954 was the first international treaty that attempted to protect the sea from pollution by oil tankers by prohibiting tankers to discharge oil, or any oil mixture containing more than 100 parts of oil per million, within specified prohibited zones. ",O,No,No,"Yes, General",No,No,No,No,No,No,Yes,"Responsable_accidente, Responsabilidad_gobierno, Sistema_de_prevención",Yes,"Territorio_nacional_estado_miembro, Gobierno, Naciones_unidas, Gobierno_contratante",No,No,No,No,No,No,Yes,"Petróleo, Contaminación_hidrocarburos, Contaminación_aguas_mar, Vertidos_buques, Vertidos_Fábricas, Byproducts, Crudo",No,No,No,No,No,No,No,No
VPRDMA_8,"DECRETO∑LEY DE 14 DE MAYO DE 1954 por el que se en (larga 301 Instituto Nacional de 111 Vivienda. la ordenacion, de.un plan de viviendas de ´tipo socialª.",14/05/1954,1954-1963,"El problema. de la ,'¡vienda afecta. con especial gra\'cdad sobre aquellas familias que ~traidas por las gran~ des concentraciones urbanas' e industrilales han prO~OCfldo en el perimetra ele las ciudades un hacinamiento ur- bano que, al no tener el necesario acomodo, viven en condiciones extremadamente deficientes.",F,No,Yes,No,Yes,No,No,No,Yes,"Riesgo_salud_humana, Peligro_Salud_hombre, Bienestar_social, Familia, Justicia_social, Impulsar_propiedad_vivienda, Crecimiento_urbano, Hacinamiento_urbano, Vida_en_condiciones_extremadamente_deficientes, Escaso_poder_económico_de_familias, Al_margen_de_protección_del_estado, Razón_moral, Clases_económicamente_más_débiles",Yes,Sujetos_obligados_al_pago,Yes,España,No,No,Yes,"Actividad_empresas, Política_de_vivienda, Crédito, Construcción_obras_públicas, Viviendas_protección_estatal, Construcción_inmuebles_vivendas ",No,No,Yes,"Desempleo, Privación_vivienda, Exclusión_social",No,No,No,No,No,No,No,"Escaso_poder_económico_de_familias, Clases_económicamente_más_débiles"
Homoxesual,"Ley de 15 de Julio de 1954 por la que se modifin los artículos 2 y 6 de la Ley de Vagos y Maleantes, de 4 de agosto de 1933",15/07/1954,1954-1978,"Four out of the five bodies that I aim to analyze in my thesis encounter for the fist time in the 1954 revision of the 1933 law of “Vagos y Maleantes”. These bodies are interpellated by the francoist legal apparatus as the “lazy” (later the “insolvent”), the “dangerous foreigner” (the illegal immigrant), the “homoxesual [sic.]” (the homosexual), and “those who encourage terrorist attacks” (the terrorist). The 1954 revision of the law is due to the necessity to include the latter two figures (the homoxesual, and those who encourage terrorist attacks) into the catalog of “estados peligrosos”, which were not displayed by the former republican law.",C,No,No,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,
VPLMA_1,Ley de 15 de julio de 1954 (Gazeta).,15/07/1954,1954-1963,Ley de 1954 de vivienda de rentas Limitada pre-protección oficial,F,No,Yes,No,Yes,No,No,No,Yes,"Dominio_público, Bienestar_social, Interés_público, Créditos_finalidad_social, Obra_social, Impulsar_propiedad_vivienda, Alquiler_social",Yes,"Sujetos_obligados_al_pago, Estado_responsable",Yes,"España, Reconstrucción_nacional, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Expropiación_forzosa, Servicio_público, Crédito_extraordinarios, Actividad_empresas, Política_de_vivienda, Capital_privado, Banca_privada, Crédito, Sistema_de_crédito, Construcción_obras_públicas, Viviendas_protección_estatal, Crédito_oficial, Fundamento_libertad_Iniciativa_privada, Sector_inmobiliario_mercado, Construcción_inmuebles_vivendas ",No,No,Yes,Deshaucio,No,No,No,No,No,No,No,No
VPMA_1,x4,26/10/1954,1954-1968,In 1955 the legislation regarding public housing multiplies remarcably from 3 laws in 1954 to 11 in 1955,F,No,Yes,No,Yes,No,No,No,Yes,"Dominio_público, Afecta_población, Creación_de_empleo, Riqueza_conjunto_sociedad, Riesgo_salud_humana, Peligro_Salud_hombre, Bienestar_social, Interés_público, Interés_del_país, Créditos_finalidad_social, Obra_social, Familia, Justicia_social, Impulsar_propiedad_vivienda, Crecimiento_urbano, Factores_económicos_sociales_culturales, Afecta_acreedor, Impulsar_mercado_hipotecario_préstamos_hipotecarios, Alquiler_social, Clase_media, Hacinamiento_urbano, Vida_en_condiciones_extremadamente_deficientes, Escaso_poder_económico_de_familias, Al_margen_de_protección_del_estado, Razón_moral, Clases_económicamente_más_débiles",Yes,"Sujetos_obligados_al_pago, Estado_responsable, Mecanismos_de_responsabilidad, Valoración_daños, Evaluación_riesgo, Obligaciones_asumidas, Programación_social_económica",Yes,"España, Territorio_nacional_estado_miembro, Soberanía, Banco_España, Guerra_liberación, Reconstrucción_nacional, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Expropiación_forzosa, Servicio_público, Crédito_extraordinarios, Actividad_empresas, Política_de_vivienda, Capital_privado, Banca_privada, Crédito, Sistema_de_crédito, Construcción_obras_públicas, Viviendas_protección_estatal, Crédito_oficial, Fundamento_libertad_Iniciativa_privada, Sector_inmobiliario_mercado, Construcción_inmuebles_vivendas ",No,No,Yes,"Desempleo, Privación_vivienda, Deshaucio, Exclusión_social",No,No,No,No,No,No,Yes,"Clase_media, Escaso_poder_económico_de_familias, Clases_económicamente_más_débiles"
DCLMA_3,Ley de 16 de diciembre de 1954 sobre hipoteca mobiliaria y prenda sin desplazamiento de posesión.,15/12/1954,1954-2015,"the 1954 law “sobre hipoteca mobiliaria” expands the loan system to a new range of commodities due to “la aparición de nuevos bienes en el sentido jurídico, difícilmente catalogables entre las cosas muebles o inmuebles” (1954: 8303). These new loanable commodities add on to real state properties such as housing, and span not only farming equipment but also “formas de prenda […] hotelera, de automóviles o de empresas o establecimientos mercantiles” (8304).",F,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Esencial_para_desenvolvimiento_de_economía_española, Afecta_trabajadores, Crecimiento_económico_progreso_desarrollo, Riqueza_conjunto_sociedad, Afecta_Deudor_hipotecario, Afecta_Deudor, Modernización, Afecta_acreedor",Yes,"Sujetos_obligados_al_pago, Mecanismos_de_responsabilidad, Evaluación_riesgo, Riesgo_potencial, Obligaciones_asumidas, Normas_corrección_de_conducta",Yes,"Español_extranjero, Mercado_español_economía, España",No,No,Yes,"Industria_turística, Estructuras_industriales_comerciales, Actividad_empresas, Indemnización_compensatoria, Deuda, Crecimiento_económico_progreso_desarrollo, Economías_desarrolladas, Nuevos_productos, Crédito, Propiedad_mobiliaria, Racionalidad_económica, Sector_inmobiliario_mercado, Hipoteca, Vehículos_automóviles, Doctrina_científica, Posesión, Sector_hipotecario",No,No,Yes,"Efectos_nocivos_Sustancias_nocivas, Créditos_peligrosos",No,No,No,No,No,No,Yes,"Afecta_Deudor_hipotecario, Afecta_Deudor"
VPMA_2,x11,14/01/1955,1955-1968,In 1955 the legislation regarding public housing multiplies remarcably from 3 laws in 1954 to 11 in 1955,F,No,Yes,No,Yes,No,No,No,Yes,"Dominio_público, Afecta_población, Creación_de_empleo, Riqueza_conjunto_sociedad, Riesgo_salud_humana, Peligro_Salud_hombre, Bienestar_social, Interés_público, Interés_del_país, Créditos_finalidad_social, Obra_social, Familia, Justicia_social, Impulsar_propiedad_vivienda, Crecimiento_urbano, Factores_económicos_sociales_culturales, Afecta_acreedor, Impulsar_mercado_hipotecario_préstamos_hipotecarios, Alquiler_social, Clase_media, Hacinamiento_urbano, Vida_en_condiciones_extremadamente_deficientes, Escaso_poder_económico_de_familias, Al_margen_de_protección_del_estado, Razón_moral, Clases_económicamente_más_débiles",Yes,"Sujetos_obligados_al_pago, Estado_responsable, Mecanismos_de_responsabilidad, Valoración_daños, Evaluación_riesgo, Obligaciones_asumidas, Programación_social_económica",Yes,"España, Territorio_nacional_estado_miembro, Soberanía, Banco_España, Guerra_liberación, Reconstrucción_nacional, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Expropiación_forzosa, Servicio_público, Crédito_extraordinarios, Actividad_empresas, Política_de_vivienda, Capital_privado, Banca_privada, Crédito, Sistema_de_crédito, Construcción_obras_públicas, Viviendas_protección_estatal, Crédito_oficial, Fundamento_libertad_Iniciativa_privada, Sector_inmobiliario_mercado, Construcción_inmuebles_vivendas ",No,No,Yes,"Desempleo, Privación_vivienda, Deshaucio, Exclusión_social",No,No,No,No,No,No,Yes,"Clase_media, Escaso_poder_económico_de_familias, Clases_económicamente_más_débiles"
ECRSMO_4,"Resolution adopted by the Foreign Ministers of the ECSC Member States (Messina, 1 to 3 June 1955)",03/06/1955,1955-1958,"More and cheaper energy placed at the disposal of the European economies is a fundamental necessity for economic progress. All measures should, therefore, be taken to develop the exchange of gas and electric current in order to raise the profitability of investments and reduce the cost of supplies. A study will also be made of methods co-ordinating the common prospects for the development of energy production and consumption and establishing the broad outlines of an overall policy",O,Yes,No,No,No,No,No,No,Yes,"Afecta_ciudadanos, Mercado_carácter_social, Bienestar_social",Yes,"Sistema_de_prevención, Evaluación_riesgo",Yes,"Europa, Interés_nacional",No,No,Yes,"Petróleo, Energía, Crecimiento_económico_progreso_desarrollo, Mercado, Libertad_intercambios",No,No,No,No,No,No,No,No,No,No,No,No
VPMA_3,x10,17/03/1956,1956-1968,In 1955 the legislation regarding public housing multiplies remarcably from 3 laws in 1954 to 11 in 1955,F,No,Yes,No,Yes,No,No,No,Yes,"Dominio_público, Afecta_población, Creación_de_empleo, Riqueza_conjunto_sociedad, Riesgo_salud_humana, Peligro_Salud_hombre, Bienestar_social, Interés_público, Interés_del_país, Créditos_finalidad_social, Obra_social, Familia, Justicia_social, Impulsar_propiedad_vivienda, Crecimiento_urbano, Factores_económicos_sociales_culturales, Afecta_acreedor, Impulsar_mercado_hipotecario_préstamos_hipotecarios, Alquiler_social, Clase_media, Hacinamiento_urbano, Vida_en_condiciones_extremadamente_deficientes, Escaso_poder_económico_de_familias, Al_margen_de_protección_del_estado, Razón_moral, Clases_económicamente_más_débiles",Yes,"Sujetos_obligados_al_pago, Estado_responsable, Mecanismos_de_responsabilidad, Valoración_daños, Evaluación_riesgo, Obligaciones_asumidas, Programación_social_económica",Yes,"España, Territorio_nacional_estado_miembro, Soberanía, Banco_España, Guerra_liberación, Reconstrucción_nacional, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Expropiación_forzosa, Servicio_público, Crédito_extraordinarios, Actividad_empresas, Política_de_vivienda, Capital_privado, Banca_privada, Crédito, Sistema_de_crédito, Construcción_obras_públicas, Viviendas_protección_estatal, Crédito_oficial, Fundamento_libertad_Iniciativa_privada, Sector_inmobiliario_mercado, Construcción_inmuebles_vivendas ",No,No,Yes,"Desempleo, Privación_vivienda, Deshaucio, Exclusión_social",No,No,No,No,No,No,Yes,"Clase_media, Escaso_poder_económico_de_familias, Clases_económicamente_más_débiles"
VPMA_4,x11,17/01/1957,1957-1968,In 1955 the legislation regarding public housing multiplies remarcably from 3 laws in 1954 to 11 in 1955,F,No,Yes,No,Yes,No,No,No,Yes,"Dominio_público, Afecta_población, Creación_de_empleo, Riqueza_conjunto_sociedad, Riesgo_salud_humana, Peligro_Salud_hombre, Bienestar_social, Interés_público, Interés_del_país, Créditos_finalidad_social, Obra_social, Familia, Justicia_social, Impulsar_propiedad_vivienda, Crecimiento_urbano, Factores_económicos_sociales_culturales, Afecta_acreedor, Impulsar_mercado_hipotecario_préstamos_hipotecarios, Alquiler_social, Clase_media, Hacinamiento_urbano, Vida_en_condiciones_extremadamente_deficientes, Escaso_poder_económico_de_familias, Al_margen_de_protección_del_estado, Razón_moral, Clases_económicamente_más_débiles",Yes,"Sujetos_obligados_al_pago, Estado_responsable, Mecanismos_de_responsabilidad, Valoración_daños, Evaluación_riesgo, Obligaciones_asumidas, Programación_social_económica",Yes,"España, Territorio_nacional_estado_miembro, Soberanía, Banco_España, Guerra_liberación, Reconstrucción_nacional, Instituto_crédito_reconstrucción_nacional",No,No,Yes,"Expropiación_forzosa, Servicio_público, Crédito_extraordinarios, Actividad_empresas, Política_de_vivienda, Capital_privado, Banca_privada, Crédito, Sistema_de_crédito, Construcción_obras_públicas, Viviendas_protección_estatal, Crédito_oficial, Fundamento_libertad_Iniciativa_privada, Sector_inmobiliario_mercado, Construcción_inmuebles_vivendas ",No,No,Yes,"Desempleo, Privación_vivienda, Deshaucio, Exclusión_social",No,No,No,No,No,No,Yes,"Clase_media, Escaso_poder_económico_de_familias, Clases_económicamente_más_débiles"
ECTMA_5,1957_treaty_establishing_eec,25/03/1957,1985-2007,"ANXIOUS to strengthen the unity of their economies and to ensure their harmonious development by reducing the differences existing between the various regions and by mitigating the backwardness of the less favoured,",F,Yes,No,No,No,Yes,Yes,No,Yes,"Mejorar_calidad_de_vida, Afecta_trabajadores, Afecta_población, Crecimiento_económico_progreso_desarrollo, Creación_de_empleo, Bienestar_de_Europa, Desarrollo_socioeconómico",No,No,Yes,"Europa, Economías_más_desarrolladas ",No,No,Yes,"Monopolio, Competitividad, Libre_comercialización_circulación, Mercado_europeo_mercado_común, Crecimiento_económico_progreso_desarrollo, Competencia, Restricción_competencia, Política_antimonopolista, Defensa_de_la_competencia, Movimiento_bienes_personas, Competition_driving_force_integration",No,No,Yes,"Prácticas_restrictivas_de_competencia, Monopolio_privado, Conducta_restrictiva_infractora, Competencia_desleal, Eliminación_obstáculos_a_la_oferta, Trastorno_mercado, Obstáculos_movimiento_libre, Falseamiento_competencia",No,No,No,No,No,No,No,No
ECTMA_6,Treaty establishing the European Atomic Energy Community (EURATOM),25/03/1957,1985-2007,"REALISING that nuclear energy constitutes the essential resource for ensuring the expansion and invigoration of production and for effecting progress in peaceful achievement,",F,Yes,No,No,No,Yes,Yes,No,Yes,"Abastecimiento_energético, Mejorar_calidad_de_vida, Afecta_trabajadores, Afecta_población, Crecimiento_económico_progreso_desarrollo, Riesgo_salud_humana, Salud_vidas_humanas, Bienestar_social, Modernización, Paz",No,No,Yes,"Abastecimiento_energético, Mejorar_calidad_de_vida, Afecta_trabajadores, Afecta_población, Crecimiento_económico_progreso_desarrollo, Riesgo_salud_humana, Salud_vidas_humanas, Bienestar_social, Modernización, Paz, Combate_defensa_vigilancia, Europa, Territorio_nacional_estado_miembro, Economías_más_desarrolladas, Seguridad",No,No,Yes,"Energía, Libre_comercialización_circulación, Actividad_empresas, Mercado_europeo_mercado_común, Eficiencia, Crecimiento_económico_progreso_desarrollo, Economías_desarrolladas, Financiación_empresarial, Inversión, Creación_empresas, Movimiento_bienes_personas",No,No,Yes,Seguridad_instalaciones,No,No,No,No,No,No,No,No
DMRDMO_2,Decreto-ley de 5 de abril de 1957 por el que se aclaran determinados artículos de la Ley reguladora del Monopolio,05/04/1957,1957-1984,"The 1957 decree-law “por la que se aclaran determinados artículos de la Ley reguladora del Monopolio de Petróleos” refers to oil derived “productos que han adquirido excepcional amplitude por su aplicación en los últimos años” (85) –such as “combustibles líquidos y acéites lubricantes” (86). Oil then, becomes a fundamental actant for the 1954 law “sobre hipoteca mobiliaria”",O,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Soberanía_estatal,No,No,Yes,"Hidrocarburos, Monopolio, Byproducts",No,No,No,No,No,No,No,No,No,No,No,No
